condition,speed_cm_s,trial,success,lift_mm,pos_err_mm,ori_err_deg,approach_mm,progress_pct,main_failure,n_attempts
static_replay,2.0,1,0,-0.010,inf,inf,inf,100.000,attempt_limit,3
static_replay,2.0,2,0,-0.010,inf,inf,inf,100.000,attempt_limit,3
static_replay,2.0,3,0,-0.010,inf,inf,inf,100.000,attempt_limit,3
static_replay,2.0,4,0,-0.010,inf,inf,inf,100.000,attempt_limit,3
static_replay,2.0,5,0,-0.010,inf,inf,inf,100.000,attempt_limit,3
static_replay,2.0,6,0,-0.010,inf,inf,inf,100.000,attempt_limit,3
static_replay,2.0,7,0,-0.010,inf,inf,inf,100.000,attempt_limit,3
static_replay,2.0,8,0,-0.010,inf,inf,inf,100.000,attempt_limit,3
static_replay,2.0,9,0,-0.010,inf,inf,inf,100.000,attempt_limit,3
static_replay,2.0,10,0,-0.010,inf,inf,inf,100.000,attempt_limit,3
static_replay,2.0,11,0,-0.010,inf,inf,inf,100.000,attempt_limit,3
static_replay,2.0,12,0,-0.010,inf,inf,inf,100.000,attempt_limit,3
static_replay,2.0,13,0,-0.010,inf,inf,inf,100.000,attempt_limit,3
static_replay,2.0,14,0,-0.010,inf,inf,inf,100.000,attempt_limit,3
static_replay,2.0,15,0,-0.010,inf,inf,inf,100.000,attempt_limit,3
static_replay,2.0,16,0,-0.010,inf,inf,inf,100.000,attempt_limit,3
static_replay,2.0,17,0,-0.010,inf,inf,inf,100.000,attempt_limit,3
static_replay,2.0,18,0,-0.010,inf,inf,inf,100.000,attempt_limit,3
static_replay,2.0,19,0,-0.010,inf,inf,inf,100.000,attempt_limit,3
static_replay,2.0,20,0,-0.010,inf,inf,inf,100.000,attempt_limit,3
dynamic_tau0,2.0,1,1,95.902,0.340,2.065,0.315,91.995,none,3
dynamic_tau0,2.0,2,1,131.848,1.005,1.758,1.045,96.178,none,1
dynamic_tau0,2.0,3,1,94.492,0.480,1.922,12.400,92.544,none,3
dynamic_tau0,2.0,4,1,251.687,0.807,5.374,0.931,96.630,none,1
dynamic_tau0,2.0,5,0,-0.010,inf,inf,inf,82.136,attempt_limit,3
dynamic_tau0,2.0,6,0,109.867,1.332,2.915,26.247,95.049,approach,2
dynamic_tau0,2.0,7,0,-0.010,inf,inf,inf,84.675,attempt_limit,3
dynamic_tau0,2.0,8,1,96.397,0.939,4.687,1.233,96.506,none,1
dynamic_tau0,2.0,9,0,-0.010,inf,inf,inf,88.713,attempt_limit,3
dynamic_tau0,2.0,10,0,-0.010,inf,inf,inf,87.778,attempt_limit,3
dynamic_tau0,2.0,11,1,242.942,1.655,3.192,1.706,55.270,none,1
dynamic_tau0,2.0,12,0,-0.010,inf,inf,inf,87.931,attempt_limit,3
dynamic_tau0,2.0,13,1,261.183,1.267,1.607,1.307,86.878,none,2
dynamic_tau0,2.0,14,1,253.250,1.459,2.913,1.497,78.609,none,2
dynamic_tau0,2.0,15,1,263.140,1.296,3.170,1.350,68.779,none,1
dynamic_tau0,2.0,16,1,259.833,1.720,0.558,2.078,59.513,none,1
dynamic_tau0,2.0,17,1,262.365,1.352,2.905,1.406,65.065,none,1
dynamic_tau0,2.0,18,1,265.380,1.319,2.590,1.373,66.565,none,1
dynamic_tau0,2.0,19,1,270.491,1.332,1.395,1.382,69.980,none,1
dynamic_tau0,2.0,20,1,277.357,1.068,3.869,1.129,79.725,none,1
oracle_pose,2.0,1,1,282.871,1.010,10.230,1.058,100.000,none,1
oracle_pose,2.0,2,1,282.609,1.009,10.060,1.057,100.000,none,1
oracle_pose,2.0,3,1,282.353,1.009,9.888,1.056,100.000,none,1
oracle_pose,2.0,4,1,282.101,1.008,9.714,1.055,100.000,none,1
oracle_pose,2.0,5,1,281.849,1.008,9.537,1.054,100.000,none,1
oracle_pose,2.0,6,1,281.600,1.007,9.358,1.053,100.000,none,1
oracle_pose,2.0,7,1,281.357,1.007,9.176,1.052,100.000,none,1
oracle_pose,2.0,8,1,281.117,1.006,8.992,1.051,100.000,none,1
oracle_pose,2.0,9,1,280.877,1.006,8.805,1.050,100.000,none,1
oracle_pose,2.0,10,1,280.643,1.005,8.617,1.049,100.000,none,1
oracle_pose,2.0,11,1,280.415,1.005,8.426,1.048,100.000,none,1
oracle_pose,2.0,12,1,280.187,1.004,8.233,1.047,100.000,none,1
oracle_pose,2.0,13,1,279.964,1.004,8.038,1.046,100.000,none,1
oracle_pose,2.0,14,1,279.740,1.003,7.841,1.045,100.000,none,1
oracle_pose,2.0,15,1,279.508,1.003,7.640,1.044,100.000,none,1
oracle_pose,2.0,16,1,279.272,1.002,7.435,1.043,100.000,none,1
oracle_pose,2.0,17,1,279.035,1.002,7.229,1.042,100.000,none,1
oracle_pose,2.0,18,1,278.799,1.001,7.021,1.041,100.000,none,1
oracle_pose,2.0,19,1,278.562,1.001,6.810,1.040,100.000,none,1
oracle_pose,2.0,20,1,278.329,1.000,6.599,1.038,100.000,none,1
raw_observation,2.0,1,0,-0.010,inf,inf,inf,100.000,lift,1
raw_observation,2.0,2,0,-0.010,inf,inf,inf,100.000,lift,1
